year,month,day,skt
1999,5,14,-1.7800048828124773
1999,5,15,-1.1799987792968523
1999,5,16,-1.0099853515624773
1999,5,17,-3.5799926757812273
1999,5,18,-1.3299926757812273
1999,5,19,-0.07999267578122726
1999,5,20,-2.1299804687499773
1999,5,21,-0.37998046874997726
1999,5,22,-2.7999938964843523
1999,5,23,-1.5799926757812273
1999,5,24,-1.1999877929687273
1999,5,25,-1.4499877929687273
1999,5,26,-1.6799987792968523
1999,5,27,-1.2300170898437273
1999,5,28,-2.6799987792968523
1999,5,29,-1.9800170898437273
1999,5,30,-0.6999877929687273
1999,5,31,-2.3500122070312273
2000,5,1,-5.049993896484352
2000,5,2,-5.629980468749977
2000,5,3,-2.0099853515624773
2000,5,4,-1.9499877929687273
2000,5,5,-1.9499877929687273
2000,5,6,-1.9499877929687273
2000,5,7,-1.9499877929687273
2000,5,8,-1.9499877929687273
2000,5,9,-1.9499877929687273
2000,5,10,-1.9499877929687273
2000,5,11,-1.9499877929687273
2000,5,12,-1.9499877929687273
2000,5,13,-1.9499877929687273
2000,5,14,-1.9499877929687273
2000,5,15,-1.8500122070312273
2000,5,16,-1.6600097656249773
2000,5,17,-1.3500122070312273
2000,5,18,-1.1600097656249773
2000,5,19,-0.8500122070312273
2000,5,20,-0.6600097656249773
2000,5,21,-0.44998779296872726
2000,5,22,-0.44998779296872726
2000,5,23,-0.44998779296872726
2000,5,24,-0.35001220703122726
2000,5,25,-0.5499938964843523
2000,5,26,-0.8500122070312273
2000,5,27,-0.9499877929687273
2000,5,28,-0.9499877929687273
2000,5,29,-0.9499877929687273
2000,5,30,-0.9499877929687273
2000,5,31,-1.0499938964843523
2001,5,1,-12.480017089843727
2001,5,2,-16.199987792968727
2001,5,3,-13.379980468749977
2001,5,4,-11.299993896484352
2001,5,5,-8.579992675781227
2001,5,6,-9.929998779296852
2001,5,7,-9.280004882812477
2001,5,8,-9.230017089843727
2001,5,9,-2.0799926757812273
2001,5,10,-2.0499938964843523
2001,5,11,-2.0499938964843523
2001,5,12,-2.0499938964843523
2001,5,13,-2.0499938964843523
2001,5,14,-2.0499938964843523
2001,5,15,-2.0499938964843523
2001,5,16,-2.0499938964843523
2001,5,17,-2.0499938964843523
2001,5,18,-2.0499938964843523
2001,5,19,-2.0499938964843523
2001,5,20,-1.9800170898437273
2001,5,21,-1.8799804687499773
2001,5,22,-1.7800048828124773
2001,5,23,-1.7500061035156023
2001,5,24,-1.7500061035156023
2001,5,25,-1.6799987792968523
2001,5,26,-1.5799926757812273
2001,5,27,-1.5499938964843523
2001,5,28,-1.4800170898437273
2001,5,29,-1.4499877929687273
2001,5,30,-1.4499877929687273
2001,5,31,-1.3799804687499773
2002,5,1,-2.0499938964843523
2002,5,2,-2.0499938964843523
2002,5,3,-2.0499938964843523
2002,5,4,-2.0499938964843523
2002,5,5,-2.0499938964843523
2002,5,6,-2.0499938964843523
2002,5,7,-1.9800170898437273
2002,5,8,-1.9499877929687273
2002,5,9,-1.9499877929687273
2002,5,10,-1.9499877929687273
2002,5,11,-1.9499877929687273
2002,5,12,-1.8700012207031023
2002,5,13,-1.7699951171874773
2002,5,14,-1.6000122070312273
2002,5,15,-1.3999999999999773
2002,5,16,-1.1999877929687273
2002,5,17,-1.0799926757812273
2002,5,18,-0.8999999999999773
2002,5,19,-0.6999877929687273
2002,5,20,-0.5000061035156023
2002,5,21,-0.37000122070310226
2002,5,22,-0.19998779296872726
2002,5,23,-6.1035156022626325e-6
2002,5,24,0.05001220703127274
2002,5,25,0.05001220703127274
2002,5,26,-0.030004882812477263
2002,5,27,0.019982910156272737
2002,5,28,0.05001220703127274
2002,5,29,0.12999877929689774
2002,5,30,0.14998779296877274
2002,5,31,0.23000488281252274
2003,5,1,-1.6499999999999773
2003,5,2,-1.5799926757812273
2003,5,3,-1.4800170898437273
2003,5,4,-1.1499999999999773
2003,5,5,-1.1200012207031023
2003,5,6,-1.1499999999999773
2003,5,7,-1.2999938964843523
2003,5,8,-1.1999877929687273
2003,5,9,-1.0000061035156023
2003,5,10,-0.8700012207031023
2003,5,11,-0.7699951171874773
2003,5,12,-0.7200073242187273
2003,5,13,-0.6799987792968523
2003,5,14,-0.6499999999999773
2003,5,15,-0.6499999999999773
2003,5,16,-0.5799926757812273
2003,5,17,-0.48001708984372726
2003,5,18,-0.44998779296872726
2003,5,19,-0.37000122070310226
2003,5,20,-0.19998779296872726
2003,5,21,-0.07999267578122726
2003,5,22,0.019982910156272737
2003,5,23,0.19997558593752274
2003,5,24,0.32000122070314774
2003,5,25,0.49999389648439774
2003,5,26,0.6299987792968977
2003,5,27,0.8000122070312727
2003,5,28,0.9200073242187727
2003,5,29,0.9499755859375227
2003,5,30,1.0199829101562727
2003,5,31,1.0500122070312727
2004,5,1,-1.6499999999999773
2004,5,2,-1.4899963378906023
2004,5,3,-1.2999938964843523
2004,5,4,-1.1000122070312273
2004,5,5,-0.9700073242187273
2004,5,6,-0.8700012207031023
2004,5,7,-0.7699951171874773
2004,5,8,-0.7500061035156023
2004,5,9,-0.6700195312499773
2004,5,10,-0.6499999999999773
2004,5,11,-0.48999633789060226
2004,5,12,-0.7500061035156023
2004,5,13,-1.0699829101562273
2004,5,14,-1.1499999999999773
2004,5,15,-1.2999938964843523
2004,5,16,-1.4200195312499773
2004,5,17,-1.5199951171874773
2004,5,18,-1.6200012207031023
2004,5,19,-1.4200195312499773
2004,5,20,-1.1900085449218523
2004,5,21,-1.0699829101562273
2004,5,22,-1.0499938964843523
2004,5,23,-0.9700073242187273
2004,5,24,-1.0199951171874773
2004,5,25,-1.0499938964843523
2004,5,26,-0.8199829101562273
2004,5,27,-0.6700195312499773
2004,5,28,-0.48999633789060226
2004,5,29,-0.14999999999997726
2004,5,30,0.10000000000002274
2004,5,31,0.37999877929689774
2005,5,1,-0.42001953124997726
2005,5,2,-3.4200195312499773
2005,5,3,-4.120001220703102
2005,5,4,-2.6000122070312273
2005,5,5,-0.7699951171874773
2005,5,6,-0.22000732421872726
2005,5,7,-2.4499877929687273
2005,5,8,-1.4499877929687273
